,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
25,23.0,4.0,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,29216.112634938032
26,36.0,4.1,Windy,Medium,1,Buffet,motorcycle,1.0,No,Urban,34,29216.112634938032
27,39.0,4.8,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,27,29214.245097966774
28,30.0,4.2,Sunny,Jam,1,Snack,scooter,1.0,No,Urban,31,29214.245097966774
29,34.0,4.6,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,25,29214.245097966774
30,22.0,4.6,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Metropolitian,26,29214.245097966774
31,27.0,4.8,Stormy,Medium,2,Meal,motorcycle,0.0,No,Urban,24,29214.245097966774
32,23.0,4.6,Windy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,26,29214.245097966774
33,22.0,4.9,Windy,Medium,1,Drinks,motorcycle,,No,Urban,25,29214.245097966774
34,,,,,3,Snack,scooter,1.0,No,Urban,16,29214.245097966774
35,39.0,4.6,Fog,Medium,1,Meal,motorcycle,1.0,No,Urban,19,29214.245097966774
36,26.0,4.7,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,17,29214.245097966774
37,26.0,4.6,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,14,29214.245097966774
38,37.0,4.6,Windy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,29213.741613773807
39,22.0,5.0,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,25,29213.741613773807
40,26.0,4.6,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,22,29213.741613773807
41,25.0,4.8,Stormy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,24,29213.741613773807
42,23.0,4.6,Windy,Jam,1,Drinks,motorcycle,1.0,No,Urban,23,29213.741613773807
43,39.0,4.5,Windy,Medium,2,Snack,scooter,1.0,No,Metropolitian,25,29213.741613773807
44,,,Sunny,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,38,29213.741613773807
45,26.0,4.8,Stormy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,17,29213.741613773807
46,32.0,3.5,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Urban,32,29213.741613773807
47,39.0,4.7,Stormy,Jam,2,Drinks,motorcycle,1.0,No,Urban,25,29213.741613773807
48,29.0,4.8,Windy,High,1,Drinks,scooter,0.0,No,Metropolitian,18,29213.741613773807
49,26.0,4.9,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Urban,22,29213.741613773807
50,23.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,30,29213.617247239243
51,26.0,4.8,Sunny,Low,1,Snack,motorcycle,0.0,No,Metropolitian,24,29213.617247239243
52,29.0,2.7,Sunny,Low,2,Drinks,scooter,2.0,No,Metropolitian,38,29213.617247239243
53,22.0,5.0,Cloudy,Jam,1,Drinks,motorcycle,0.0,No,Urban,35,29213.617247239243
54,,,,,3,Drinks,electric_scooter,0.0,No,Metropolitian,15,29213.617247239243
55,38.0,4.8,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,31,29213.617247239243
56,28.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,11,29213.617247239243
57,28.0,4.7,Windy,High,2,Drinks,scooter,0.0,No,Metropolitian,13,29213.617247239243
58,20.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,,16,29213.617247239243
59,37.0,4.7,Sunny,High,2,Snack,scooter,1.0,No,Urban,21,29212.10696348082
60,27.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,29212.10696348082
61,29.0,4.6,Stormy,Low,1,Meal,motorcycle,0.0,No,,11,29212.10696348082
62,26.0,4.8,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,30,29212.10696348082
63,22.0,4.9,Fog,High,2,Drinks,motorcycle,0.0,No,Metropolitian,28,29212.10696348082
64,36.0,4.8,Cloudy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,29,29212.10696348082
65,28.0,4.8,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,17,29212.10696348082
66,,,Sandstorms,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,20,29212.10696348082
67,25.0,4.8,Sunny,Jam,0,Drinks,motorcycle,0.0,No,Urban,16,29212.10696348082
68,31.0,4.9,Sunny,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,16,29212.10696348082
69,30.0,4.9,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,29212.10696348082
70,38.0,4.3,Sandstorms,Jam,2,Drinks,electric_scooter,2.0,No,Metropolitian,36,29211.85827210762
71,39.0,4.0,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,34,29211.85827210762
72,25.0,4.9,Fog,Jam,1,Buffet,scooter,1.0,No,Urban,25,29211.85827210762
73,36.0,4.2,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,32,29211.85827210762
74,20.0,4.5,Sandstorms,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,27,29211.85827210762
75,29.0,4.5,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,29211.85827210762
76,32.0,4.5,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,26,29211.85827210762
77,35.0,4.9,Windy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,35,29211.85827210762
78,30.0,4.2,Windy,Low,0,Drinks,motorcycle,1.0,No,Urban,32,29211.85827210762
79,32.0,4.9,Cloudy,Medium,2,Buffet,scooter,2.0,No,Metropolitian,37,29211.85827210762
80,,,Cloudy,Jam,1,Drinks,motorcycle,,No,Urban,20,29210.759722890587
81,31.0,4.7,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,29210.759722890587
82,32.0,4.1,Windy,High,0,Meal,motorcycle,2.0,No,Urban,40,29210.759722890587
83,29.0,4.5,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,29210.759722890587
84,26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,29210.759722890587
85,22.0,4.7,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,19,29210.759722890587
86,31.0,4.9,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,47,29210.759722890587
87,30.0,4.3,Sandstorms,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,38,29210.759722890587
88,,,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,33,29210.759722890587
89,34.0,4.7,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,17,29210.759722890587
90,26.0,4.6,Sunny,Jam,1,Snack,scooter,1.0,No,Urban,14,29209.341694982075
91,34.0,4.4,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,43,29209.341694982075
92,35.0,4.9,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,33,29209.341694982075
93,37.0,4.5,Sandstorms,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,31,29209.341694982075
94,30.0,4.8,Sandstorms,High,2,Snack,scooter,1.0,No,Urban,29,29209.341694982075
95,23.0,4.6,Sandstorms,Low,2,Buffet,scooter,1.0,No,Metropolitian,16,29209.341694982075
96,24.0,4.1,Fog,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,29209.341694982075
97,38.0,4.8,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,26,29209.341694982075
98,23.0,4.9,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,18,29209.341694982075
99,37.0,4.8,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,27,29209.341694982075
100,31.0,4.8,Sunny,Jam,2,Buffet,scooter,0.0,No,Urban,15,29209.341694982075
101,20.0,5.0,Sunny,Low,2,Snack,scooter,0.0,No,Metropolitian,22,29208.96876209712
102,35.0,4.8,Sunny,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,20,29208.96876209712
103,29.0,4.8,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Metropolitian,10,29208.96876209712
104,20.0,4.5,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,26,29208.96876209712
105,,,Fog,Medium,2,Buffet,scooter,0.0,No,Urban,10,29208.96876209712
106,32.0,4.0,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Metropolitian,34,29208.96876209712
107,29.0,4.8,Sunny,Medium,1,Snack,scooter,0.0,No,Metropolitian,13,29208.96876209712
108,32.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,18,29208.96876209712
109,22.0,4.9,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,26,29208.96876209712
110,39.0,4.4,Windy,Jam,0,Meal,motorcycle,1.0,Yes,Metropolitian,42,29208.96876209712
111,29.0,4.5,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,28,29208.96876209712
112,35.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,22,29208.96876209712
113,33.0,5.0,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,34,29206.575182485245
114,39.0,4.6,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,29206.575182485245
115,33.0,4.0,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,47,29206.575182485245
116,25.0,4.5,Fog,Jam,1,Meal,scooter,1.0,No,Urban,30,29206.575182485245
117,,,,,3,Meal,scooter,1.0,No,Metropolitian,34,29206.575182485245
118,31.0,4.3,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,24,29206.575182485245
119,33.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,29206.575182485245
120,33.0,4.8,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,43,29206.575182485245
121,23.0,4.9,Cloudy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,20,29206.575182485245
122,35.0,4.7,Windy,Jam,2,Meal,scooter,0.0,No,Metropolitian,29,29206.575182485245
123,27.0,4.6,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,17,29206.575182485245
124,31.0,4.8,Sandstorms,Medium,2,Drinks,electric_scooter,0.0,No,Urban,29,29206.575182485245
125,38.0,4.1,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,38,29205.991683759195
126,32.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,29205.991683759195
127,30.0,5.0,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,17,29205.991683759195
128,23.0,5.0,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,30,29205.991683759195
129,24.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,17,29205.991683759195
130,27.0,4.2,Windy,High,0,Snack,motorcycle,1.0,No,Urban,35,29205.991683759195
131,20.0,4.8,Stormy,High,0,Snack,motorcycle,,No,Metropolitian,27,29205.991683759195
132,29.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,27,29205.991683759195
133,33.0,5.0,Stormy,High,1,Meal,scooter,1.0,No,Metropolitian,26,29205.991683759195
134,32.0,4.6,Stormy,Low,1,Buffet,motorcycle,0.0,No,Urban,18,29205.991683759195
135,28.0,4.9,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,15,29204.949684823543
136,28.0,4.9,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,27,29204.949684823543
137,36.0,4.5,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,44,29204.949684823543
138,29.0,5.0,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,34,29204.949684823543
139,34.0,3.5,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,33,29204.949684823543
140,32.0,4.5,Sunny,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,23,29204.949684823543
141,24.0,4.6,Sandstorms,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,22,29204.949684823543
142,25.0,4.6,Stormy,Medium,2,Meal,motorcycle,1.0,No,Urban,24,29204.949684823543
143,27.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,,18,29204.949684823543
144,25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,29204.644015579463
145,38.0,3.6,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,34,29204.644015579463
146,31.0,4.9,Cloudy,Low,1,Snack,scooter,0.0,No,Metropolitian,16,29204.644015579463
147,23.0,5.0,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,16,29204.644015579463
148,26.0,4.7,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,19,29204.644015579463
149,30.0,4.1,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,52,29204.644015579463
150,39.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,29204.644015579463
151,37.0,4.5,Sunny,Jam,2,Drinks,scooter,1.0,No,Urban,30,29204.644015579463
152,27.0,4.1,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,32,29204.644015579463
153,35.0,4.6,Stormy,Medium,1,Snack,motorcycle,1.0,No,Urban,23,29204.644015579463
154,31.0,4.6,Stormy,High,0,Snack,motorcycle,1.0,No,Urban,32,29204.35146314562
155,27.0,5.0,Sunny,Medium,2,Snack,scooter,1.0,No,Urban,11,29204.35146314562
156,27.0,4.6,Stormy,Low,1,Snack,scooter,0.0,No,Metropolitian,18,29204.35146314562
157,37.0,4.9,Windy,High,1,Buffet,scooter,0.0,No,,26,29204.35146314562
158,20.0,5.0,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,29204.35146314562
159,25.0,4.6,Cloudy,Low,1,Buffet,scooter,0.0,No,Urban,12,29204.35146314562
160,36.0,4.8,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,47,29204.35146314562
161,34.0,4.4,Stormy,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,29204.35146314562
162,34.0,5.0,Sunny,Low,2,Snack,scooter,0.0,No,Metropolitian,22,29204.35146314562
163,36.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,29204.27877798687
164,24.0,4.1,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,39,29204.27877798687
165,38.0,4.5,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,21,29204.27877798687
166,24.0,4.6,Sandstorms,Medium,2,Buffet,scooter,0.0,No,Metropolitian,27,29204.27877798687
167,35.0,4.6,Fog,High,0,Meal,motorcycle,1.0,No,Urban,30,29204.27877798687
168,39.0,4.5,Windy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,31,29204.27877798687
169,35.0,4.9,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,29,29204.27877798687
170,25.0,5.0,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,36,29204.27877798687
171,26.0,4.7,Windy,Jam,0,Drinks,motorcycle,0.0,No,Urban,26,29204.27877798687
172,28.0,4.7,Sunny,Low,2,Snack,scooter,1.0,No,Metropolitian,23,29204.27877798687
173,37.0,4.6,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,27,29204.27877798687
174,26.0,4.9,Cloudy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,28,29204.278080434204
175,27.0,4.8,Cloudy,High,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,29204.278080434204
176,26.0,4.5,Sandstorms,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,21,29204.278080434204
177,27.0,4.9,Stormy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,18,29204.278080434204
178,24.0,4.7,Sunny,Medium,2,Drinks,motorcycle,1.0,No,Urban,11,29204.278080434204
179,,,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Urban,25,29204.278080434204
180,20.0,4.6,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Urban,18,29204.278080434204
181,35.0,5.0,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,48,29204.278080434204
182,27.0,4.8,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,29204.278080434204
183,50.0,6.0,,,3,Drinks,electric_scooter,1.0,No,Urban,28,29204.278080434204
184,23.0,4.9,Cloudy,Low,0,Snack,motorcycle,1.0,No,Urban,18,29204.278080434204
185,33.0,4.8,Sandstorms,High,1,Snack,motorcycle,1.0,No,Urban,26,29204.278080434204
186,21.0,5.0,Fog,Low,1,Buffet,scooter,0.0,No,Metropolitian,10,29204.278080434204
187,39.0,4.9,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,25,29204.052125984927
188,23.0,4.9,Sunny,Medium,2,Snack,motorcycle,1.0,No,,10,29204.052125984927
189,33.0,5.0,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,30,29204.052125984927
190,27.0,4.5,Sunny,Medium,2,Buffet,scooter,0.0,No,Metropolitian,13,29204.052125984927
191,35.0,4.6,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,29204.052125984927
192,24.0,4.6,Stormy,Low,0,Buffet,motorcycle,1.0,No,Urban,21,29204.052125984927
193,34.0,4.2,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,39,29204.052125984927
194,37.0,4.0,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,31,29204.052125984927
195,28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,29204.052125984927
196,30.0,4.5,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,23,29202.642636611847
197,34.0,4.7,Sandstorms,High,2,Meal,scooter,,No,Metropolitian,33,29202.642636611847
198,29.0,4.9,Cloudy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,17,29202.642636611847
199,26.0,4.0,Sandstorms,Low,0,Meal,motorcycle,1.0,No,,26,29202.642636611847
200,33.0,4.8,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,16,29202.642636611847
201,21.0,4.8,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,30,29202.642636611847
202,32.0,4.8,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,29202.642636611847
203,26.0,4.9,Stormy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,29,29202.438215625494
204,39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,29202.438215625494
205,20.0,4.7,Sandstorms,Medium,2,Meal,motorcycle,1.0,No,Urban,24,29202.438215625494
206,22.0,4.3,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,34,29202.438215625494
207,34.0,5.0,Sunny,Jam,1,Buffet,scooter,,No,Urban,21,29202.438215625494
208,21.0,4.8,Fog,Jam,0,Drinks,motorcycle,0.0,No,Urban,29,29202.438215625494
209,26.0,4.5,Sunny,High,0,Drinks,motorcycle,1.0,No,Urban,46,29202.438215625494
210,27.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,25,29202.438215625494
211,23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,29202.438215625494
212,24.0,4.9,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,29202.330514733214
213,20.0,4.9,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,14,29202.330514733214
214,26.0,4.8,Cloudy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,41,29202.330514733214
215,36.0,4.2,Cloudy,High,1,Snack,scooter,0.0,No,Metropolitian,39,29202.330514733214
216,33.0,5.0,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,29202.330514733214
217,33.0,4.6,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,24,29202.330514733214
218,26.0,4.9,Fog,High,1,Drinks,motorcycle,1.0,No,Metropolitian,33,29202.330514733214
219,31.0,4.9,Sandstorms,High,0,Snack,motorcycle,1.0,No,Urban,34,29202.330514733214
220,31.0,4.6,Windy,High,2,Snack,motorcycle,1.0,No,Metropolitian,29,29202.330514733214
221,23.0,4.0,Cloudy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,42,29202.330514733214
222,30.0,4.1,Cloudy,Jam,1,Buffet,motorcycle,,No,Metropolitian,48,29202.330514733214
223,29.0,4.8,Sandstorms,High,2,Meal,scooter,,No,Metropolitian,29,29202.330514733214
224,38.0,4.7,Cloudy,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,42,29202.330514733214
225,37.0,4.8,Cloudy,Medium,2,Buffet,scooter,0.0,No,Urban,18,29202.330514733214
226,28.0,4.8,Sandstorms,Medium,2,Buffet,scooter,0.0,No,Metropolitian,18,29202.330514733214
227,26.0,4.6,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18,29202.05716568417
228,38.0,4.7,Sandstorms,Low,0,Meal,motorcycle,,No,Urban,24,29202.05716568417
229,32.0,4.1,Windy,Jam,0,Buffet,motorcycle,0.0,No,Urban,39,29202.05716568417
230,29.0,4.9,Sandstorms,Low,2,Buffet,scooter,1.0,No,Urban,18,29202.05716568417
231,28.0,4.8,Stormy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,22,29202.05716568417
232,37.0,4.6,Stormy,High,1,Meal,scooter,1.0,No,Metropolitian,25,29202.05716568417
233,36.0,5.0,Sunny,Medium,0,Drinks,motorcycle,,No,Metropolitian,21,29202.05716568417
234,35.0,4.9,Fog,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,38,29202.05716568417
235,27.0,4.6,Cloudy,Medium,2,Buffet,scooter,0.0,No,Urban,12,29202.05716568417
236,30.0,4.5,Sandstorms,Medium,1,Buffet,scooter,1.0,No,Metropolitian,32,29202.05716568417
237,30.0,4.5,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,28,29202.05716568417
238,30.0,4.8,Cloudy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,28,29201.43494598587
239,25.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Urban,36,29201.43494598587
240,28.0,4.6,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,22,29201.43494598587
241,24.0,4.8,Sunny,Medium,1,Drinks,motorcycle,,No,Urban,11,29201.43494598587
242,24.0,4.7,Stormy,High,2,Buffet,electric_scooter,,No,Urban,10,29201.43494598587
243,35.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,31,29201.43494598587
244,37.0,5.0,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,16,29201.43494598587
245,20.0,4.6,Cloudy,Medium,1,Buffet,scooter,1.0,No,Urban,19,29201.43494598587
246,24.0,2.8,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,42,29201.43494598587
247,38.0,4.1,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,29201.43494598587
248,22.0,4.4,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,37,29200.070179932056
249,29.0,4.6,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36,29200.070179932056
250,25.0,4.8,Sandstorms,Jam,1,Snack,scooter,0.0,No,Urban,25,29200.070179932056
251,25.0,5.0,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,23,29200.070179932056
252,23.0,4.6,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Urban,15,29200.070179932056
253,27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,18,29200.070179932056
254,21.0,4.8,Fog,Medium,2,Meal,electric_scooter,,No,Metropolitian,27,29200.070179932056
255,31.0,4.5,Sandstorms,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,41,29200.070179932056
256,39.0,4.9,Cloudy,High,1,Snack,motorcycle,1.0,No,Metropolitian,33,29200.070179932056
257,,,Fog,Low,1,Drinks,scooter,0.0,No,Metropolitian,19,29200.070179932056
258,36.0,4.9,Fog,High,0,Meal,motorcycle,1.0,No,Metropolitian,27,29200.070179932056
259,33.0,4.5,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,26,29199.802384488456
260,35.0,4.7,Fog,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,42,29199.802384488456
261,37.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Urban,30,29199.802384488456
262,37.0,4.9,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,38,29199.802384488456
263,32.0,4.7,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,26,29199.802384488456
